School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
P.S. 193 - BROOKLYN,K,22,FY18 RESO A AUDITORIUM  UPGRADE,35180,CIP,K193,2515 AVENUE L,Brooklyn,11210,BROOKLYN,40.621507,-73.950473,14,45,754,3208461,3076250001,Midwood,"(40.621507, -73.950473)",02/06/2019
P.S. 197 - BROOKLYN,K,22,EXT MASONRY/PARAPETS/ROOFS/WINDOWS/FLOOD/PIPING,12370000,CIP,K197,1599 EAST 22 STREET,Brooklyn,11210,BROOKLYN,40.612623,-73.951906,14,48,546,3182169,3067690018,Midwood,"(40.612623, -73.951906)",02/06/2019
P.S. 200 - BROOKLYN,K,20,PARAPETS/ROOFS/EXT MASONRY,7947450,CIP,K200,1940 BENSON AVENUE,Brooklyn,11214,BROOKLYN,40.603188,-74.001408,11,43,282,3167818,3064070008,Bath Beach,"(40.603188, -74.001408)",02/06/2019
P.S. 205 - BROOKLYN,K,20,FLOOD ELIMINATION/PARAPETS/EXTERIOR MASONRY/ROOFS,5528000,CIP,K205,6701 20 AVENUE,Brooklyn,11204,BROOKLYN,40.61527,-73.987149,11,47,256,3134749,3055710001,Bensonhurst West,"(40.61527, -73.987149)",02/06/2019
I.S. 394 - BROOKLYN,K,17,WATER PENETRATION,884000,CIP,K210,188 ROCHESTER AVENUE,Brooklyn,11213,BROOKLYN,40.672762,-73.927973,8,36,347,3036289,3013670022,Crown Heights North,"(40.672762, -73.927973)",02/06/2019
P.S. 212 - BROOKLYN,K,21,EXT MASONRY - WATER PENETRATION/PARAPETS/ROOFS/WIN,12527000,CIP,K212,87 BAY 49 STREET,Brooklyn,11214,BROOKLYN,40.587616,-73.985948,13,47,314,3187407,3069170001,Gravesend,"(40.587616, -73.985948)",02/06/2019
P.S. 215 - BROOKLYN,K,21,EXTERIOR MASONRY/PARAPETS,3028000,CIP,K215,415 AVENUE S,Brooklyn,11223,BROOKLYN,40.602084,-73.970013,15,47,41401,3178584,3066810169,Homecrest,"(40.602084, -73.970013)",02/06/2019
P.S. 216 - BROOKLYN,K,21,FY15 RESO A SUPPLEMENTAL COOLING,693400,CIP,K216,350 AVENUE X,Brooklyn,11223,BROOKLYN,40.590564,-73.969964,15,47,37401,3195175,3071960001,Gravesend,"(40.590564, -73.969964)",02/06/2019
P.S. 217 - BROOKLYN,K,22,EXT MASONRY/FLOOD/WINDOWS/PARAPETS,10807450,CIP,K217,1100 NEWKIRK AVENUE,Brooklyn,11230,BROOKLYN,40.63398,-73.966558,14,40,526,3121072,3052320001,Flatbush,"(40.63398, -73.966558)",02/06/2019
I.S. 218 - BROOKLYN,K,19,WATER PENETRATION/EXT MASONRY,2606000,CIP,K218,370 FOUNTAIN AVENUE,Brooklyn,11208,BROOKLYN,40.670724,-73.874208,5,42,1118,3095977,3042780001,East New York,"(40.670724, -73.874208)",02/06/2019
